,,,,,,,,,,,
Anaís Cifuentes,,,,,,,1,2,,,3
Almay Cerpa,,,,,,,,2,1,,3
Alejandra Betancourt,,,,3,,,,,,,3
Abigail Ahumada,,,3,,,,,,,,3
Yesenia López,1,,,,,1,,,,,2
Yenifer Villarroel,,,,,,,,2,,,2
Yaritza Molina,,,,,,,2,,,,2
Yaki Vecca,,,,,,,,,2,,2
Viviana Castillo,2,,,,,,,,,,2
Victoria Osores,,1,,1,,,,,,,2
Victoria Herrera,,,,,,,,2,,,2
Vanessa Muñoz,2,,,,,,,,,,2
Valeska López,2,,,,,,,,,,2
Valery Otárola,,,,,,,,1,1,,2
Totti Cisternas,,,,,2,,,,,,2
Teresa Hermosilla,,,1,1,,,,,,,2
Tamara Alcayaga,,,,2,,,,,,,2
Sofía Barrios,,,,,,,2,,,,2
Silvana Figueroa,1,1,,,,,,,,,2
Sigrid Becerra,,,2,,,,,,,,2
Sara Pulecio,,,,,,,,2,,,2
Sara Berríos,,,,,,,,,2,,2
Roxana Palma,,,,2,,,,,,,2
Rossana González,,,,1,1,,,,,,2
Rosa Castillo,2,,,,,,,,,,2
Rocío Becerra,,,,1,1,,,,,,2
Priscilla Hidalgo,,,,,,,,2,,,2
Priscila Tapia,,,,1,,,,,1,,2
Pilar Gutiérrez,,,2,,,,,,,,2
Pía Muñoz,,,1,1,,,,,,,2
Pía Flores,,,2,,,,,,,,2
Pía Fehrmann,,,,,,,1,1,,,2
Paz Valdivia,,,,1,1,,,,,,2
Pamela Coihuin,1,1,,,,,,,,,2
Pamela Acevedo,,,,2,,,,,,,2
Paloma Bermúdez,,,,2,,,,,,,2
Ninoska Lecaros,,,,2,,,,,,,2
Nicole Lazo,,,,,,,2,,,,2
Nicole Guerrero,2,,,,,,,,,,2
Nicole Delgado,,,,1,1,,,,,,2
Nicol Tapia,,,,,2,,,,,,2
Monserratt González,,,,,,,2,,,,2
Monserrat Sepúlveda,,,1,,1,,,,,,2
Molie Madariaga,,,,1,1,,,,,,2
Milenka Gavilán,1,,,,,,,,1,,2
Micaela Toloza,,,,1,,,,1,,,2
Melisa Espina,2,,,,,,,,,,2
Marlyn Díaz,,,,2,,,,,,,2
Mariel Pastenes,,,,,,,,1,1,,2
María Rosales,,,,2,,,,,,,2
María Rodríguez,,,,,2,,,,,,2
María López,,,,,2,,,,,,2
María Fernanda Hernández,2,,,,,,,,,,2
María Cristina Julio,1,,,,,,,1,,,2
Marcela Guerrero,,,,2,,,,,,,2
Macarena Errázuriz,,1,,,1,,,,,,2
Luz Fuentes,,,,,,,,2,,,2
Luana Fernández,,,,2,,,,,,,2
Llislen Sandoval,,2,,,,,,,,,2
Lisette Aceituno,,,,2,,,,,,,2
Leslie Herrera,2,,,,,,,,,,2
Kathya Valenzuela,,,2,,,,,,,,2
Katherine Urrea,,,,2,,,,,,,2
Katherine Delgadillo,,2,,,,,,,,,2
Katherine Del Real,,,,2,,,,,,,2
Katherine Cruces,,,2,,,,,,,,2
Katherine Castro,,2,,,,,,,,,2
Katherine Carvajal,,1,,,1,,,,,,2
Katalina Arias,,,,2,,,,,,,2
Karoline Ibáñez,,,,,,,2,,,,2
Karol Vargas,,,,2,,,,,,,2
Karla Neira,,2,,,,,,,,,2
Karen González,,,,,1,,1,,,,2
Karen Arias,2,,,,,,,,,,2
Julia Jorquera,,,,,2,,,,,,2
Joins Almonacid,,,,,,,2,,,,2
Johana Matus,,,,2,,,,,,,2
Jimena Tapia,,,,,2,,,,,,2
Jetzabeth Zepeda,,,,2,,,,,,,2
Jeanette Aguirre,,,,2,,,,,,,2
Javiera Varas,,,,1,1,,,,,,2
Javiera Monsalve,,,2,,,,,,,,2
Isamar Medina,1,,,1,,,,,,,2
Isabelle Kadzban,,,,,,,2,,,,2
Isabel Celis,,,2,,,,,,,,2
Graciela Flores,,,,,,,,,2,,2
Gloria Cantillana,2,,,,,,,,,,2
Gabriela Herrera,,,2,,,,,,,,2
Gabriela Chandía,,,,2,,,,,,,2
Francisca Vergara,1,1,,,,,,,,,2
Francisca Canelo,,,,2,,,,,,,2
Franchesca Rojel,,,,2,,,,,,,2
Florencia Rath,,,,,1,,1,,,,2
Fernanda Rojas,,,,,,,1,1,,,2
Fernanda Reyes,2,,,,,,,,,,2
Fanny Velásquez,,1,1,,,,,,,,2
Deyanira Barrera,1,,1,,,,,,,,2
Denisse Morales,,,,,2,,,,,,2
Darling Sepúlveda,2,,,,,,,,,,2
Daniela Recabarren,,,,,,,,2,,,2
Daniela Contreras,2,,,,,,,,,,2
Daniela Asencio,,1,,1,,,,,,,2
Dania Raicahuín,,2,,,,,,,,,2
Damary Vivar,,,,,2,,,,,,2
Daisy Mardones,2,,,,,,,,,,2
Cynthia Rodríguez,,,,2,,,,,,,2
Corina Clavijo,,,,,,,,,2,,2
Consuelo Tapia,,,,,2,,,,,,2
Consuelo Ruíz,,,,,,,,1,1,,2
Catherine Tapia,,,1,,1,,,,,,2
Catalina Huentelicán,,,,,,,,2,,,2
Carolina Pezoa,,,,,,,1,1,,,2
Carol Negron,,2,,,,,,,,,2
Carmen Soto,1,1,,,,,,,,,2
Camila Yaeger,,,,2,,,,,,,2
Camila Rapimán,,,,1,1,,,,,,2
Camila Palma,1,,1,,,,,,,,2
Camila Ojeda,,,2,,,,,,,,2
Camila Muñoz,,2,,,,,,,,,2
Camila Casanga,,,,2,,,,,,,2
Bianca Elgueta,2,,,,,,,,,,2
Belen Ormeño,,1,1,,,,,,,,2
Beatriz Ojeda,2,,,,,,,,,,2
Aylyne Medina,,,,,,,,,2,,2
Ashly Urra,,,,,,2,,,,,2
Angélica Valera,,,,2,,,,,,,2
Alexandra Fabbroni,2,,,,,,,,,,2
Alexandra Cruz,,,,,2,,,,,,2
Alexa San Francisco,,,,,,,,,2,,2
AG U. La Calera,,,,2,,,,,,,2
AG A. Italiano,,,,2,,,,,,,2
Adriana Moreno,,,,,,,,2,,,2
